OrderDate,Category,Product,Region,AgeGroup,PaymentMethod,Quantity,UnitPrice,Revenue,Rating,Returned
2024-01-16 08:39:26.332665,Mỹ phẩm,Toner,Đồng Nai,35-44,Ví điện tử,2,80000.0,160000.0,4.8,Không
2024-01-16 08:39:26.332665,Điện tử,Loa bluetooth,Đà Nẵng,25-34,COD,2,519000.0,1038000.0,4.4,Không
2024-01-16 08:39:26.332665,Mỹ phẩm,Kem dưỡng da,Hà Nội,25-34,Ví điện tử,5,119000.0,595000.0,3.7,Không
2024-01-17 02:12:44.729458,Mỹ phẩm,Kem dưỡng da,Hà Nội,18-24,Ví điện tử,2,392000.0,784000.0,3.5,Không
2024-01-17 02:12:44.729458,Điện tử,Tai nghe,Bình Dương,18-24,Chuyển khoản,4,374000.0,1496000.0,3.8,Không
2024-01-17 19:46:03.126252,Mỹ phẩm,Toner,TP.HCM,25-34,COD,2,128000.0,256000.0,4.5,Không
2024-01-17 19:46:03.126252,Điện tử,Tai nghe,TP.HCM,18-24,COD,1,918000.0,918000.0,2.2,Không
2024-01-18 13:19:21.523046,Thời trang,Giày sneaker,Hà Nội,25-34,Chuyển khoản,1,251000.0,251000.0,2.8,Không
2024-01-18 13:19:21.523046,Điện tử,Đồng hồ thông minh,Hà Nội,25-34,Thẻ ngân hàng,2,503000.0,1006000.0,3.1,Không
2024-01-19 06:52:39.919839,Thời trang,Giày sneaker,Đà Nẵng,,COD,1,394000.0,394000.0,4.9,Không
2024-01-22 05:05:53.507014,Thời trang,Túi xách,Hà Nội,25-34,Ví điện tử,3,133000.0,399000.0,3.4,Không
2024-01-23 16:12:30.300601,Thời trang,Túi xách,Cần Thơ,25-34,Thẻ ngân hàng,2,423000.0,846000.0,4.0,Không
2024-01-23 16:12:30.300601,Thời trang,Kính mát,Hà Nội,25-34,Ví điện tử,1,603000.0,603000.0,4.1,Không
2024-01-23 16:12:30.300601,Mỹ phẩm,Toner,Đà Nẵng,35-44,Ví điện tử,3,123000.0,369000.0,3.9,Không
2024-01-23 16:12:30.300601,Điện tử,Sạc dự phòng,TP.HCM,45-54,Thẻ ngân hàng,5,1141000.0,5705000.0,5.0,Không
2024-01-25 03:19:07.094188,Điện tử,Đồng hồ thông minh,Hà Nội,18-24,Ví điện tử,1,344000.0,344000.0,3.6,Không
2024-01-25 03:19:07.094188,Mỹ phẩm,Serum,Hà Nội,35-44,COD,1,285000.0,285000.0,3.9,Không
2024-01-25 20:52:25.490981,Thời trang,Giày sneaker,TP.HCM,18-24,Ví điện tử,1,446000.0,446000.0,4.0,Không
2024-01-25 20:52:25.490981,Mỹ phẩm,Mascara,TP.HCM,18-24,COD,5,403000.0,2015000.0,4.3,Không
2024-01-26 14:25:43.887775,Điện tử,Sạc dự phòng,Đà Nẵng,45-54,Thẻ ngân hàng,5,548000.0,2740000.0,3.0,Không
2024-01-28 19:05:39.078156,Sách,Sách kỹ năng,TP.HCM,25-34,Ví điện tử,2,176000.0,352000.0,5.0,Không
2024-01-28 19:05:39.078156,Điện tử,Đồng hồ thông minh,Hà Nội,25-34,COD,1,690000.0,690000.0,3.2,Không
2024-01-28 19:05:39.078156,Thời trang,Kính mát,Hà Nội,25-34,Ví điện tử,4,641000.0,2564000.0,3.3,Không
2024-01-29 12:38:57.474949,Thể thao,Bóng đá,TP.HCM,35-44,Ví điện tử,1,320000.0,320000.0,3.6,Không
2024-01-29 12:38:57.474949,Thời trang,Quần jean,TP.HCM,25-34,Chuyển khoản,1,343000.0,343000.0,4.4,Có
2024-01-29 12:38:57.474949,Điện tử,Cáp USB,Đà Nẵng,18-24,Ví điện tử,2,872000.0,1744000.0,4.1,Không
2024-01-29 12:38:57.474949,Thể thao,Găng tay tập,Hà Nội,25-34,COD,1,60000.0,60000.0,5.0,Không
2024-01-30 23:45:34.268537,Mỹ phẩm,Kem dưỡng da,Hà Nội,55+,COD,1,345000.0,345000.0,5.0,Không
2024-01-31 17:18:52.665330,Mỹ phẩm,Mascara,TP.HCM,45-54,COD,2,,,4.0,Không
2024-02-02 21:58:47.855711,Thời trang,Kính mát,Cần Thơ,18-24,COD,5,521000.0,2605000.0,4.8,Không
2024-02-02 21:58:47.855711,Mỹ phẩm,Son môi,TP.HCM,35-44,Ví điện tử,2,112000.0,224000.0,3.4,Không
2024-02-04 09:05:24.649298,Điện tử,Tai nghe,TP.HCM,45-54,COD,3,244000.0,732000.0,3.5,Không
2024-02-04 09:05:24.649298,Điện tử,Sạc dự phòng,Hà Nội,25-34,Ví điện tử,2,731000.0,1462000.0,3.6,Có
2024-02-08 00:51:56.633266,Thể thao,Thảm yoga,Hà Nội,18-24,COD,5,200000.0,1000000.0,2.5,Không
2024-02-08 00:51:56.633266,Mỹ phẩm,Mascara,Hà Nội,18-24,Ví điện tử,4,295000.0,1180000.0,3.4,Có
2024-02-08 00:51:56.633266,Thời trang,Quần jean,TP.HCM,55+,Ví điện tử,2,545000.0,1090000.0,4.3,Có
2024-02-09 11:58:33.426853,Mỹ phẩm,Kem dưỡng da,TP.HCM,25-34,Ví điện tử,3,363000.0,1089000.0,4.8,Không
2024-02-10 05:31:51.823647,Điện tử,Đồng hồ thông minh,TP.HCM,45-54,Thẻ ngân hàng,2,759000.0,1518000.0,3.6,Không
2024-02-10 23:05:10.220440,Thể thao,Găng tay tập,Cần Thơ,18-24,Thẻ ngân hàng,1,94000.0,94000.0,3.0,Không
2024-02-12 10:11:47.014028,Mỹ phẩm,Son môi,TP.HCM,35-44,COD,5,131000.0,655000.0,2.9,Không
2024-02-13 03:45:05.410821,Sách,Tiểu thuyết,TP.HCM,45-54,Ví điện tử,1,81000.0,81000.0,5.0,Không
2024-02-13 03:45:05.410821,Thời trang,Áo thun,TP.HCM,25-34,Ví điện tử,1,374000.0,374000.0,4.6,Không
2024-02-13 21:18:23.807615,Thời trang,Kính mát,TP.HCM,35-44,COD,37,363000.0,13431000.0,4.5,Có
2024-02-15 08:25:00.601202,Thời trang,Quần jean,Hà Nội,35-44,Ví điện tử,2,178000.0,356000.0,3.2,Không
2024-02-17 13:04:55.791583,Thời trang,Túi xách,TP.HCM,25-34,COD,5,511000.0,2555000.0,4.5,Không
2024-02-18 06:38:14.188376,Điện tử,Cáp USB,TP.HCM,55+,Ví điện tử,5,1111000.0,5555000.0,4.5,Không
2024-02-18 06:38:14.188376,Điện tử,Loa bluetooth,TP.HCM,45-54,COD,5,,,2.2,Không
2024-02-19 00:11:32.585170,Mỹ phẩm,Son môi,TP.HCM,25-34,COD,2,290000.0,580000.0,5.0,Không
2024-02-19 00:11:32.585170,Mỹ phẩm,Son môi,Bình Dương,25-34,Ví điện tử,2,369000.0,738000.0,4.8,Không
2024-02-19 00:11:32.585170,Điện tử,Cáp USB,Hà Nội,35-44,COD,2,1034000.0,2068000.0,3.9,Có
2024-02-19 17:44:50.981963,Điện tử,Đồng hồ thông minh,TP.HCM,45-54,Ví điện tử,5,394000.0,1970000.0,3.9,Không
2024-02-19 17:44:50.981963,Mỹ phẩm,Toner,Đà Nẵng,25-34,COD,3,164000.0,492000.0,3.3,Không
2024-02-19 17:44:50.981963,Mỹ phẩm,Mascara,Bình Dương,25-34,COD,2,177000.0,354000.0,3.9,Có
2024-02-20 11:18:09.378757,Mỹ phẩm,Mascara,Cần Thơ,35-44,COD,2,212000.0,424000.0,3.5,Không
2024-02-21 04:51:27.775551,Thời trang,Giày sneaker,Hà Nội,35-44,Chuyển khoản,1,461000.0,461000.0,4.3,Không
2024-02-23 09:31:22.965931,Mỹ phẩm,Son môi,Hà Nội,35-44,Chuyển khoản,2,319000.0,638000.0,2.8,Không
2024-02-23 09:31:22.965931,Thời trang,Giày sneaker,TP.HCM,45-54,Ví điện tử,1,380000.0,380000.0,4.7,Không
2024-02-24 20:37:59.759519,Thể thao,Dây nhảy,Hà Nội,45-54,COD,33,,,3.9,Không
2024-02-25 14:11:18.156312,Sách,Sách kỹ năng,Hà Nội,18-24,Thẻ ngân hàng,2,123000.0,246000.0,5.0,Không
2024-02-26 07:44:36.553106,Điện tử,Tai nghe,TP.HCM,25-34,Ví điện tử,2,420000.0,840000.0,3.8,Không
2024-02-26 07:44:36.553106,Điện tử,Loa bluetooth,TP.HCM,18-24,Ví điện tử,5,868000.0,4340000.0,3.4,Không
2024-02-26 07:44:36.553106,Điện tử,Sạc dự phòng,Bình Dương,18-24,Thẻ ngân hàng,2,957000.0,1914000.0,3.2,Không
2024-02-27 01:17:54.949899,Thời trang,Áo thun,Đồng Nai,55+,COD,1,244000.0,244000.0,3.2,Có
2024-02-27 18:51:13.346693,Thời trang,Kính mát,Đà Nẵng,18-24,Thẻ ngân hàng,1,595000.0,595000.0,4.8,Không
2024-02-27 18:51:13.346693,Điện tử,Sạc dự phòng,Hà Nội,25-34,Ví điện tử,2,1131000.0,2262000.0,3.6,Không
2024-02-27 18:51:13.346693,Điện tử,Cáp USB,Hà Nội,18-24,COD,1,1147000.0,1147000.0,,Có
2024-02-29 23:31:08.537074,Thời trang,Quần jean,Hà Nội,25-34,Thẻ ngân hàng,1,515000.0,515000.0,2.9,Không
2024-03-01 17:04:26.933867,Thời trang,Kính mát,Đà Nẵng,45-54,COD,1,235000.0,235000.0,3.5,Không
2024-03-04 15:17:40.521042,Mỹ phẩm,Serum,Cần Thơ,25-34,Chuyển khoản,4,67000.0,268000.0,4.2,Không
2024-03-05 08:50:58.917835,Sách,Tiểu thuyết,Hà Nội,18-24,COD,1,59000.0,59000.0,5.0,Không
2024-03-06 02:24:17.314629,Điện tử,Loa bluetooth,Đà Nẵng,35-44,Ví điện tử,1,1046000.0,1046000.0,3.7,Không
2024-03-06 19:57:35.711422,Thể thao,Găng tay tập,TP.HCM,25-34,COD,5,64000.0,320000.0,4.7,Không
2024-03-08 07:04:12.505010,Điện tử,Loa bluetooth,TP.HCM,35-44,COD,1,1163000.0,1163000.0,3.6,Không
2024-03-09 18:10:49.298597,Mỹ phẩm,Serum,Đà Nẵng,,COD,1,,,4.3,Không
2024-03-10 11:44:07.695390,Điện tử,Loa bluetooth,TP.HCM,45-54,COD,1,903000.0,903000.0,4.1,Không
2024-03-10 11:44:07.695390,Sách,Tiểu thuyết,TP.HCM,,Ví điện tử,3,116000.0,348000.0,4.1,Không
2024-03-10 11:44:07.695390,Điện tử,Cáp USB,TP.HCM,55+,Ví điện tử,1,731000.0,731000.0,4.1,Không
2024-03-11 05:17:26.092184,Thể thao,Dây nhảy,Hà Nội,25-34,COD,1,215000.0,215000.0,3.6,Không
2024-03-11 22:50:44.488977,Thời trang,Áo thun,Bình Dương,35-44,Thẻ ngân hàng,1,,,4.3,Không
2024-03-11 22:50:44.488977,Điện tử,Loa bluetooth,TP.HCM,25-34,Ví điện tử,2,177000.0,354000.0,3.4,Không
2024-03-12 16:24:02.885771,Thể thao,Bình nước,TP.HCM,25-34,Ví điện tử,1,365000.0,365000.0,3.4,Không
2024-03-12 16:24:02.885771,Mỹ phẩm,Son môi,Đà Nẵng,45-54,Chuyển khoản,1,,,5.0,Không
2024-03-14 21:03:58.076152,Thời trang,Áo thun,Bình Dương,35-44,Chuyển khoản,1,125000.0,125000.0,3.6,Không
2024-03-17 01:43:53.266533,Thể thao,Bóng đá,TP.HCM,18-24,Ví điện tử,2,249000.0,498000.0,4.5,Có
2024-03-17 19:17:11.663326,Điện tử,Loa bluetooth,Đà Nẵng,55+,COD,2,722000.0,1444000.0,4.2,Không
2024-03-18 12:50:30.060120,Thời trang,Túi xách,Hà Nội,45-54,Chuyển khoản,3,294000.0,882000.0,3.9,Không
2024-03-19 23:57:06.853707,Thời trang,Giày sneaker,Bình Dương,25-34,Ví điện tử,1,619000.0,619000.0,3.7,Không
2024-03-19 23:57:06.853707,Điện tử,Cáp USB,Hà Nội,35-44,Ví điện tử,2,614000.0,1228000.0,2.9,Không
2024-03-20 17:30:25.250501,Mỹ phẩm,Son môi,Hà Nội,25-34,Ví điện tử,2,118000.0,236000.0,4.2,Không
2024-03-20 17:30:25.250501,Điện tử,Đồng hồ thông minh,Hà Nội,45-54,COD,2,826000.0,1652000.0,4.9,Không
2024-03-21 11:03:43.647294,Điện tử,Đồng hồ thông minh,Hà Nội,45-54,COD,2,831000.0,1662000.0,4.5,Có
2024-03-21 11:03:43.647294,Mỹ phẩm,Mascara,Đà Nẵng,18-24,Ví điện tử,3,107000.0,321000.0,3.5,Không
2024-03-22 22:10:20.440881,Điện tử,Đồng hồ thông minh,TP.HCM,18-24,Ví điện tử,3,173000.0,519000.0,2.5,Không
2024-03-24 09:16:57.234468,Điện tử,Đồng hồ thông minh,Cần Thơ,25-34,Thẻ ngân hàng,1,452000.0,452000.0,4.0,Có
2024-03-24 09:16:57.234468,Điện tử,Sạc dự phòng,Cần Thơ,25-34,Chuyển khoản,1,985000.0,985000.0,4.4,Không
2024-03-24 09:16:57.234468,Điện tử,Đồng hồ thông minh,Hà Nội,,Chuyển khoản,1,1144000.0,1144000.0,4.4,Không
2024-03-24 09:16:57.234468,Điện tử,Loa bluetooth,Hà Nội,25-34,Ví điện tử,1,1044000.0,1044000.0,2.5,Không
2024-03-25 20:23:34.028056,Mỹ phẩm,Son môi,TP.HCM,35-44,Ví điện tử,1,122000.0,122000.0,,Không
2024-03-26 13:56:52.424849,Sách,Sách học ngoại ngữ,Cần Thơ,,COD,1,152000.0,152000.0,4.8,Không
2024-03-28 01:03:29.218436,Điện tử,Cáp USB,TP.HCM,35-44,Ví điện tử,2,757000.0,1514000.0,3.4,Không
2024-03-28 18:36:47.615230,Thời trang,Kính mát,Đồng Nai,18-24,Chuyển khoản,4,232000.0,928000.0,3.3,Không
2024-03-28 18:36:47.615230,Thể thao,Dây nhảy,Hà Nội,25-34,Ví điện tử,2,361000.0,722000.0,4.0,Không
2024-03-29 12:10:06.012024,Điện tử,Tai nghe,Bình Dương,18-24,Thẻ ngân hàng,5,321000.0,1605000.0,4.0,Không
2024-03-29 12:10:06.012024,Thời trang,Quần jean,Hà Nội,35-44,COD,1,349000.0,349000.0,3.7,Không
2024-03-30 05:43:24.408817,Điện tử,Cáp USB,Hà Nội,55+,Thẻ ngân hàng,2,441000.0,882000.0,2.8,Không
2024-03-30 05:43:24.408817,Thể thao,Găng tay tập,Hà Nội,25-34,Thẻ ngân hàng,1,124000.0,124000.0,5.0,Không
2024-03-30 23:16:42.805611,Mỹ phẩm,Serum,TP.HCM,25-34,Thẻ ngân hàng,2,412000.0,824000.0,3.7,Không
2024-03-30 23:16:42.805611,Mỹ phẩm,Serum,TP.HCM,25-34,Chuyển khoản,4,396000.0,1584000.0,3.7,Không
2024-04-02 21:29:56.392785,Thể thao,Thảm yoga,TP.HCM,25-34,Thẻ ngân hàng,5,,,4.2,Không
2024-04-03 15:03:14.789579,Thời trang,Túi xách,Hà Nội,25-34,COD,2,165000.0,330000.0,3.7,Có
2024-04-03 15:03:14.789579,Điện tử,Sạc dự phòng,TP.HCM,25-34,Ví điện tử,2,464000.0,928000.0,4.5,Có
2024-04-03 15:03:14.789579,Mỹ phẩm,Toner,Hà Nội,25-34,Ví điện tử,1,90000.0,90000.0,3.9,Không
2024-04-04 08:36:33.186372,Thời trang,Quần jean,TP.HCM,35-44,Ví điện tử,18,541000.0,9738000.0,3.3,Không
2024-04-05 02:09:51.583166,Điện tử,Cáp USB,TP.HCM,25-34,Ví điện tử,3,249000.0,747000.0,3.1,Không
2024-04-05 02:09:51.583166,Mỹ phẩm,Son môi,TP.HCM,25-34,Chuyển khoản,2,422000.0,844000.0,3.5,Không
2024-04-05 02:09:51.583166,Sách,Sách thiếu nhi,Hà Nội,35-44,Ví điện tử,1,105000.0,105000.0,5.0,Không
2024-04-05 19:43:09.979959,Mỹ phẩm,Serum,Hà Nội,35-44,COD,1,,,2.1,Không
2024-04-07 06:49:46.773547,Điện tử,Sạc dự phòng,Bình Dương,25-34,Thẻ ngân hàng,3,228000.0,684000.0,3.1,Không
2024-04-07 06:49:46.773547,Mỹ phẩm,Kem dưỡng da,TP.HCM,25-34,Thẻ ngân hàng,27,399000.0,10773000.0,4.0,Không
2024-04-07 06:49:46.773547,Thời trang,Quần jean,Đà Nẵng,35-44,COD,1,337000.0,337000.0,4.2,Không
2024-04-08 17:56:23.567134,Điện tử,Tai nghe,Bình Dương,25-34,Thẻ ngân hàng,1,703000.0,703000.0,3.4,Không
2024-04-10 22:36:18.757515,Mỹ phẩm,Kem dưỡng da,Đồng Nai,35-44,Ví điện tử,1,217000.0,217000.0,4.3,Không
2024-04-11 16:09:37.154308,Mỹ phẩm,Toner,Hà Nội,18-24,COD,3,381000.0,1143000.0,4.1,Không
2024-04-11 16:09:37.154308,Sách,Sách học ngoại ngữ,TP.HCM,55+,Ví điện tử,1,154000.0,154000.0,,Không
2024-04-12 09:42:55.551102,Thời trang,Kính mát,Hà Nội,35-44,Ví điện tử,1,631000.0,631000.0,5.0,Không
2024-04-12 09:42:55.551102,Mỹ phẩm,Toner,Hà Nội,18-24,COD,3,96000.0,288000.0,3.7,Không
2024-04-12 09:42:55.551102,Thời trang,Túi xách,Hà Nội,25-34,COD,1,482000.0,482000.0,5.0,Không
2024-04-12 09:42:55.551102,Sách,Sách thiếu nhi,Hà Nội,35-44,Ví điện tử,2,123000.0,246000.0,3.9,Không
2024-04-14 14:22:50.741482,Thời trang,Túi xách,TP.HCM,25-34,Ví điện tử,4,113000.0,452000.0,4.6,Không
2024-04-16 01:29:27.535070,Điện tử,Cáp USB,Hà Nội,25-34,COD,3,282000.0,846000.0,3.5,Không
2024-04-16 01:29:27.535070,Thời trang,Giày sneaker,Hà Nội,18-24,Ví điện tử,1,438000.0,438000.0,4.2,Không
2024-04-16 19:02:45.931863,Sách,Tiểu thuyết,TP.HCM,35-44,Chuyển khoản,4,137000.0,548000.0,4.8,Không
2024-04-16 19:02:45.931863,Sách,Sách học ngoại ngữ,Đà Nẵng,18-24,COD,1,169000.0,169000.0,5.0,Không
2024-04-16 19:02:45.931863,Thời trang,Áo thun,Bình Dương,18-24,Thẻ ngân hàng,1,250000.0,250000.0,3.2,Không
2024-04-17 12:36:04.328657,Thời trang,Áo thun,TP.HCM,35-44,Ví điện tử,4,490000.0,1960000.0,3.6,Không
2024-04-18 23:42:41.122244,Điện tử,Tai nghe,Đà Nẵng,35-44,COD,1,847000.0,847000.0,5.0,Không
2024-04-18 23:42:41.122244,Điện tử,Sạc dự phòng,TP.HCM,35-44,Ví điện tử,1,,,3.7,Không
2024-04-18 23:42:41.122244,Sách,Sách học ngoại ngữ,Hà Nội,25-34,COD,1,123000.0,123000.0,4.4,Có
2024-04-18 23:42:41.122244,Thời trang,Túi xách,TP.HCM,25-34,Thẻ ngân hàng,4,300000.0,1200000.0,4.5,Không
2024-04-19 17:15:59.519038,Điện tử,Cáp USB,Đà Nẵng,45-54,Ví điện tử,4,397000.0,1588000.0,3.5,Không
2024-04-20 10:49:17.915831,Mỹ phẩm,Mascara,Hà Nội,55+,COD,1,410000.0,410000.0,4.3,Không
2024-04-20 10:49:17.915831,Thể thao,Thảm yoga,Đà Nẵng,35-44,COD,2,371000.0,742000.0,4.0,Không
2024-04-20 10:49:17.915831,Thời trang,Kính mát,Đồng Nai,25-34,Ví điện tử,5,499000.0,2495000.0,3.4,Có
2024-04-20 10:49:17.915831,Điện tử,Cáp USB,Hà Nội,25-34,Ví điện tử,5,1006000.0,5030000.0,4.1,Không
2024-04-21 21:55:54.709418,Điện tử,Loa bluetooth,Đồng Nai,35-44,Thẻ ngân hàng,2,821000.0,1642000.0,3.5,Không
2024-04-24 02:35:49.899799,Thời trang,Áo thun,TP.HCM,18-24,Thẻ ngân hàng,1,551000.0,551000.0,4.5,Không
2024-04-24 20:09:08.296593,Thể thao,Găng tay tập,Hà Nội,18-24,Ví điện tử,2,228000.0,456000.0,4.4,Không
2024-04-24 20:09:08.296593,Mỹ phẩm,Kem dưỡng da,Hà Nội,35-44,COD,1,89000.0,89000.0,3.2,Không
2024-04-25 13:42:26.693386,Điện tử,Loa bluetooth,TP.HCM,55+,Chuyển khoản,4,1002000.0,4008000.0,3.7,Có
2024-04-26 07:15:45.090180,Thể thao,Bóng đá,TP.HCM,18-24,Thẻ ngân hàng,5,273000.0,1365000.0,3.8,Không
2024-04-26 07:15:45.090180,Điện tử,Cáp USB,Hà Nội,18-24,Ví điện tử,2,927000.0,1854000.0,3.4,Không
2024-04-26 07:15:45.090180,Điện tử,Sạc dự phòng,TP.HCM,25-34,Thẻ ngân hàng,3,515000.0,1545000.0,4.5,Không
2024-04-27 00:49:03.486973,Mỹ phẩm,Son môi,TP.HCM,35-44,COD,3,212000.0,636000.0,,Không
2024-04-27 00:49:03.486973,Sách,Sách học ngoại ngữ,Hà Nội,18-24,Ví điện tử,1,103000.0,103000.0,4.9,Không
2024-04-27 00:49:03.486973,Sách,Sách kỹ năng,Cần Thơ,18-24,Ví điện tử,5,96000.0,480000.0,3.6,Không
2024-04-27 00:49:03.486973,Thời trang,Quần jean,TP.HCM,35-44,COD,2,481000.0,962000.0,4.4,Không
2024-04-27 18:22:21.883767,Thời trang,Quần jean,TP.HCM,25-34,Thẻ ngân hàng,1,461000.0,461000.0,3.5,Không
2024-04-29 23:02:17.074148,Điện tử,Tai nghe,Hà Nội,,COD,5,1157000.0,5785000.0,3.5,Không
2024-04-30 16:35:35.470941,Điện tử,Sạc dự phòng,Hà Nội,18-24,Chuyển khoản,2,503000.0,1006000.0,2.9,Không
2024-05-02 21:15:30.661322,Thể thao,Thảm yoga,Đà Nẵng,18-24,COD,1,215000.0,215000.0,4.6,Không
2024-05-03 14:48:49.058116,Điện tử,Loa bluetooth,Hà Nội,35-44,Chuyển khoản,4,383000.0,1532000.0,3.5,Không
2024-05-04 08:22:07.454909,Điện tử,Tai nghe,Cần Thơ,18-24,COD,3,1142000.0,3426000.0,3.7,Có
2024-05-08 17:41:57.835671,Sách,Manga,TP.HCM,25-34,Ví điện tử,2,149000.0,298000.0,5.0,Không
2024-05-08 17:41:57.835671,Sách,Sách thiếu nhi,Hà Nội,18-24,Chuyển khoản,2,,,5.0,Có
2024-05-10 04:48:34.629258,Mỹ phẩm,Toner,Đà Nẵng,25-34,COD,1,99000.0,99000.0,3.9,Không
2024-05-10 22:21:53.026052,Sách,Tiểu thuyết,TP.HCM,25-34,Ví điện tử,1,55000.0,55000.0,5.0,Không
2024-05-12 09:28:29.819639,Mỹ phẩm,Toner,TP.HCM,25-34,COD,1,97000.0,97000.0,3.7,Không
2024-05-13 03:01:48.216432,Sách,Sách học ngoại ngữ,TP.HCM,45-54,COD,5,79000.0,395000.0,2.6,Không
2024-05-13 20:35:06.613226,Thời trang,Túi xách,Bình Dương,25-34,COD,1,421000.0,421000.0,3.6,Không
2024-05-14 14:08:25.010020,Điện tử,Cáp USB,TP.HCM,25-34,Ví điện tử,1,1031000.0,1031000.0,4.0,Không
2024-05-14 14:08:25.010020,Thời trang,Áo thun,Hà Nội,25-34,COD,1,379000.0,379000.0,4.0,Không
2024-05-14 14:08:25.010020,Điện tử,Sạc dự phòng,Hà Nội,35-44,COD,2,,,4.0,Không
2024-05-15 07:41:43.406813,Thể thao,Bình nước,Đà Nẵng,18-24,Thẻ ngân hàng,4,178000.0,712000.0,4.3,Không
2024-05-16 18:48:20.200400,Sách,Tiểu thuyết,Hà Nội,25-34,COD,1,143000.0,143000.0,5.0,Không
2024-05-16 18:48:20.200400,Mỹ phẩm,Mascara,TP.HCM,18-24,COD,1,373000.0,373000.0,3.1,Không
2024-05-18 05:54:56.993987,Điện tử,Loa bluetooth,TP.HCM,35-44,Thẻ ngân hàng,1,,,4.5,Không
2024-05-20 10:34:52.184368,Mỹ phẩm,Kem dưỡng da,Đà Nẵng,18-24,Ví điện tử,2,186000.0,372000.0,,Không
2024-05-21 04:08:10.581162,Thời trang,Áo thun,Cần Thơ,18-24,Ví điện tử,1,439000.0,439000.0,2.2,Không
2024-05-21 04:08:10.581162,Thời trang,Kính mát,TP.HCM,18-24,COD,5,367000.0,1835000.0,4.7,Không
2024-05-23 08:48:05.771543,Thời trang,Quần jean,Cần Thơ,18-24,COD,4,163000.0,652000.0,5.0,Không
2024-05-24 02:21:24.168336,Điện tử,Tai nghe,Cần Thơ,18-24,Thẻ ngân hàng,1,406000.0,406000.0,3.6,Không
2024-05-24 19:54:42.565130,Mỹ phẩm,Son môi,TP.HCM,35-44,Ví điện tử,2,91000.0,182000.0,4.9,Không
2024-05-24 19:54:42.565130,Mỹ phẩm,Son môi,TP.HCM,18-24,Ví điện tử,4,348000.0,1392000.0,5.0,Không
2024-05-27 00:34:37.755511,Thời trang,Giày sneaker,Đà Nẵng,35-44,Thẻ ngân hàng,4,235000.0,940000.0,4.6,Không
2024-05-27 00:34:37.755511,Mỹ phẩm,Kem dưỡng da,Hà Nội,25-34,Thẻ ngân hàng,2,284000.0,568000.0,4.3,Không
